Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOL,SOL,SOL,SOL,SOL,SOL
Date,,,,,,
2020-01-02,1.399999976158142,1.399999976158142,1.409999966621399,1.3600000143051147,1.409999966621399,59200
2020-01-03,1.3899999856948853,1.3899999856948853,1.440000057220459,1.3700000047683716,1.399999976158142,21000
2020-01-06,1.3200000524520874,1.3200000524520874,1.3899999856948853,1.25,1.3700000047683716,133200
2020-01-07,1.2999999523162842,1.2999999523162842,1.3200000524520874,1.25,1.3200000524520874,54700
2020-01-08,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.2799999713897705,1.2799999713897705,55400
2020-01-09,1.350000023841858,1.350000023841858,1.350000023841858,1.2799999713897705,1.3200000524520874,52100
2020-01-10,1.3600000143051147,1.3600000143051147,1.3600000143051147,1.340000033378601,1.3600000143051147,12200
2020-01-13,1.3899999856948853,1.3899999856948853,1.3899999856948853,1.3600000143051147,1.3600000143051147,39000
2020-01-14,1.3600000143051147,1.3600000143051147,1.3899999856948853,1.3600000143051147,1.3799999952316284,14800
2020-01-15,1.3799999952316284,1.3799999952316284,1.409999966621399,1.2999999523162842,1.3300000429153442,53900
2020-01-16,1.3600000143051147,1.3600000143051147,1.399999976158142,1.3300000429153442,1.399999976158142,67600
2020-01-17,1.399999976158142,1.399999976158142,1.4199999570846558,1.3600000143051147,1.3799999952316284,46800
2020-01-21,1.3899999856948853,1.3899999856948853,1.4199999570846558,1.3300000429153442,1.350000023841858,90600
2020-01-22,1.399999976158142,1.399999976158142,1.399999976158142,1.3799999952316284,1.3899999856948853,29200
2020-01-23,1.350000023841858,1.350000023841858,1.409999966621399,1.340000033378601,1.3899999856948853,42200
2020-01-24,1.340000033378601,1.340000033378601,1.3899999856948853,1.340000033378601,1.3899999856948853,20600
2020-01-27,1.2999999523162842,1.2999999523162842,1.350000023841858,1.2999999523162842,1.350000023841858,38400
2020-01-28,1.3700000047683716,1.3700000047683716,1.3700000047683716,1.2899999618530273,1.2999999523162842,58000
2020-01-29,1.2999999523162842,1.2999999523162842,1.3799999952316284,1.2999999523162842,1.3700000047683716,12200
2020-01-30,1.2899999618530273,1.2899999618530273,1.3200000524520874,1.2899999618530273,1.309999942779541,35200
2020-01-31,1.309999942779541,1.309999942779541,1.340000033378601,1.2999999523162842,1.3300000429153442,19300
2020-02-03,1.2999999523162842,1.2999999523162842,1.340000033378601,1.2899999618530273,1.2899999618530273,18800
2020-02-04,1.340000033378601,1.340000033378601,1.340000033378601,1.2999999523162842,1.2999999523162842,23100
2020-02-05,1.3799999952316284,1.3799999952316284,1.4199999570846558,1.340000033378601,1.3799999952316284,48900
2020-02-06,1.3600000143051147,1.3600000143051147,1.399999976158142,1.3600000143051147,1.3799999952316284,20800
2020-02-07,1.3200000524520874,1.3200000524520874,1.3899999856948853,1.309999942779541,1.3899999856948853,13400
2020-02-10,1.3200000524520874,1.3200000524520874,1.350000023841858,1.309999942779541,1.350000023841858,16200
2020-02-11,1.340000033378601,1.340000033378601,1.3899999856948853,1.309999942779541,1.3600000143051147,32900
2020-02-12,1.4900000095367432,1.4900000095367432,1.5,1.3700000047683716,1.3799999952316284,182700
2020-02-13,1.5399999618530273,1.5399999618530273,1.600000023841858,1.5099999904632568,1.5299999713897705,118800
2020-02-14,1.5,1.5,1.600000023841858,1.5,1.590000033378601,59300
2020-02-18,1.4900000095367432,1.4900000095367432,1.5299999713897705,1.4199999570846558,1.5099999904632568,94100
2020-02-19,1.649999976158142,1.649999976158142,1.659999966621399,1.4900000095367432,1.5299999713897705,123500
2020-02-20,1.7300000190734863,1.7300000190734863,1.7999999523162842,1.6200000047683716,1.7000000476837158,269200
2020-02-21,1.7100000381469727,1.7100000381469727,1.75,1.649999976158142,1.75,68100
2020-02-24,1.649999976158142,1.649999976158142,1.7000000476837158,1.6299999952316284,1.659999966621399,49700
2020-02-25,1.5299999713897705,1.5299999713897705,1.600000023841858,1.5199999809265137,1.600000023841858,91600
2020-02-26,1.4199999570846558,1.4199999570846558,1.4700000286102295,1.3799999952316284,1.4700000286102295,114000
2020-02-27,1.4299999475479126,1.4299999475479126,1.4700000286102295,1.340000033378601,1.4199999570846558,104000
2020-02-28,1.309999942779541,1.309999942779541,1.4299999475479126,1.2999999523162842,1.4299999475479126,95300
2020-03-02,1.350000023841858,1.350000023841858,1.3799999952316284,1.2999999523162842,1.2999999523162842,54900
2020-03-03,1.2899999618530273,1.2899999618530273,1.4500000476837158,1.2899999618530273,1.4299999475479126,92600
2020-03-04,1.2999999523162842,1.2999999523162842,1.340000033378601,1.2599999904632568,1.2599999904632568,41200
2020-03-05,1.2799999713897705,1.2799999713897705,1.2999999523162842,1.2699999809265137,1.2999999523162842,40100
2020-03-06,1.2699999809265137,1.2699999809265137,1.309999942779541,1.25,1.2799999713897705,30300
2020-03-09,1.159999966621399,1.159999966621399,1.2699999809265137,1.1399999856948853,1.2200000286102295,122400
2020-03-10,1.149999976158142,1.149999976158142,1.1699999570846558,1.100000023841858,1.149999976158142,46600
2020-03-11,1.1100000143051147,1.1100000143051147,1.1399999856948853,1.090000033378601,1.1100000143051147,58600
2020-03-12,0.9599999785423279,0.9599999785423279,1.059999942779541,0.9399999976158142,1.0399999618530273,64300
2020-03-13,0.9300000071525574,0.9300000071525574,1.0299999713897705,0.8899999856948853,0.9599999785423279,169600
2020-03-16,0.8999999761581421,0.8999999761581421,0.9700000286102295,0.8500000238418579,0.8500000238418579,93900
2020-03-17,1.0099999904632568,1.0099999904632568,1.0399999618530273,0.8999999761581421,0.949999988079071,43500
2020-03-18,0.949999988079071,0.949999988079071,1.0,0.8999999761581421,1.0,30000
2020-03-19,1.0099999904632568,1.0099999904632568,1.0800000429153442,0.8999999761581421,0.949999988079071,207900
2020-03-20,1.0299999713897705,1.0299999713897705,1.0700000524520874,1.0199999809265137,1.0700000524520874,41500
2020-03-23,1.0299999713897705,1.0299999713897705,1.0399999618530273,1.0,1.0199999809265137,117400
2020-03-24,1.0299999713897705,1.0299999713897705,1.0800000429153442,1.0199999809265137,1.0800000429153442,60100
